scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
septic_shock,contractility_factor,hemodynamics,0.8167,spo2_nadir,96.22,96.22,0.0
septic_shock,contractility_factor,hemodynamics,0.8167,map_nadir,51.749,54.76,-3.011
septic_shock,contractility_factor,hemodynamics,0.8167,lactate_peak,1.744,1.518,0.226
septic_shock,contractility_factor,hemodynamics,0.8167,rescue_margin,0.941,0.996,-0.055
septic_shock,contractility_factor,hemodynamics,0.95,spo2_nadir,96.22,96.22,0.0
septic_shock,contractility_factor,hemodynamics,0.95,map_nadir,53.939,54.76,-0.821
septic_shock,contractility_factor,hemodynamics,0.95,lactate_peak,1.58,1.518,0.062
septic_shock,contractility_factor,hemodynamics,0.95,rescue_margin,0.981,0.996,-0.015
septic_shock,contractility_factor,hemodynamics,1.0833,spo2_nadir,96.22,96.22,0.0
septic_shock,contractility_factor,hemodynamics,1.0833,map_nadir,56.128,54.76,1.368
septic_shock,contractility_factor,hemodynamics,1.0833,lactate_peak,1.5,1.518,-0.018
septic_shock,contractility_factor,hemodynamics,1.0833,rescue_margin,1.0,0.996,0.004
septic_shock,contractility_factor,hemodynamics,1.2167,spo2_nadir,96.22,96.22,0.0
septic_shock,contractility_factor,hemodynamics,1.2167,map_nadir,58.32,54.76,3.56
septic_shock,contractility_factor,hemodynamics,1.2167,lactate_peak,1.5,1.518,-0.018
septic_shock,contractility_factor,hemodynamics,1.2167,rescue_margin,1.0,0.996,0.004
septic_shock,contractility_factor,hemodynamics,1.35,spo2_nadir,96.22,96.22,0.0
septic_shock,contractility_factor,hemodynamics,1.35,map_nadir,60.51,54.76,5.75
septic_shock,contractility_factor,hemodynamics,1.35,lactate_peak,1.5,1.518,-0.018
septic_shock,contractility_factor,hemodynamics,1.35,rescue_margin,1.0,0.996,0.004
septic_shock,alveolar_oxygen_reserve,respiration,0.45,spo2_nadir,89.07,96.22,-7.15
septic_shock,alveolar_oxygen_reserve,respiration,0.45,map_nadir,54.76,54.76,0.0
septic_shock,alveolar_oxygen_reserve,respiration,0.45,lactate_peak,1.762,1.518,0.244
septic_shock,alveolar_oxygen_reserve,respiration,0.45,rescue_margin,0.922,0.996,-0.074
septic_shock,alveolar_oxygen_reserve,respiration,0.5917,spo2_nadir,90.912,96.22,-5.308
septic_shock,alveolar_oxygen_reserve,respiration,0.5917,map_nadir,54.76,54.76,0.0
septic_shock,alveolar_oxygen_reserve,respiration,0.5917,lactate_peak,1.609,1.518,0.091
septic_shock,alveolar_oxygen_reserve,respiration,0.5917,rescue_margin,0.968,0.996,-0.028
septic_shock,alveolar_oxygen_reserve,respiration,0.7333,spo2_nadir,92.753,96.22,-3.467
septic_shock,alveolar_oxygen_reserve,respiration,0.7333,map_nadir,54.76,54.76,0.0
