scenario,variable,module,kind,min,max,final,hard_low,hard_high,expected_low,expected_high,status,run_error
picu_insulin_stress_hyperglycemia_v1_16,sepsis_severity_score,AdvancedSepsisModule,score,0.0,0.24920442423007244,0.24920442423007244,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,septic_encephalopathy_index,NeuroFunctionalModule/ICPModule,index,0.0,0.2316593251426319,0.2316593251426319,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,shivering_index,ThermoregulationModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,source_control_need_index,InfectionAntimicrobialBasicModule,index,0.0,0.24454395192325015,0.24454395192325015,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,steroid_ICP_mod,SteroidsModule,modifier,0.9963360886673875,1.0,0.9963360886673875,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,steroid_SIRS_mod,SteroidsModule,modifier,0.9938934811123125,1.0,0.9938934811123125,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,steroid_SVR_mod,SteroidsModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,steroid_glucose_add,SteroidsModule,additive_modifier,0.0,0.08549126442762496,0.08549126442762496,-150.0,150.0,-50.0,50.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,stress_hyperglycemia_index,PainStressSedationModule,index,0.0,0.6224547748512854,0.6218230944382227,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,stress_index,PainStressSedationModule,index,0.1,1.0,1.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,sympathetic_tone,PainStressSedationModule,drive_or_tone,1.0,1.55,1.55,0.0,3.0,0.0,2.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,temperature_instability_score,ThermoregulationModule,score,0.0,0.09467224420291602,0.09304192244056966,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,thermo_HR_add,ThermoregulationModule,additive_modifier,0.0,11.247730284410466,7.794558146115833,-150.0,150.0,-50.0,50.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,thermo_VO2_mod,ThermoregulationModule,modifier,1.0,1.1172322780923205,1.0798487221736155,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,thermo_coag_mod,ThermoregulationModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,thermo_lactate_mod,ThermoregulationModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,thrombosis_risk_index,HematologyOxygenTransportModule,risk_index,0.0,0.05491256405462205,0.05491256405462205,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,thyroid_suppression_index,EndocrineStressAxisModule,index,0.0,0.026577451294406057,0.026577451294406057,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,transfusion_trigger_score,HematologyOxygenTransportModule,score,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vancomycin_coverage_mod,Pharmacology/InfectionModules,modifier,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
